bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
33470,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,7,75000.0
33482,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,1,17500.0
33488,Marine,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,5,17500.0
33489,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,0,17500.0
33491,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,1,37500.0
33498,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,0,37500.0
33515,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,6,3000.0
33519,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,2,75000.0
33527,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,5,150000.0
33536,Hot-Dry,CA,Electricity,gen4_led,Electricity,Mercantile,2,17500.0
33539,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,5,17500.0
33545,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Education,3,150000.0
33550,Marine,CA,Electricity,gen4_led,Electricity,Mercantile,5,17500.0
33556,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,0,3000.0
33569,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,1,75000.0
33571,Marine,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,0,7500.0
33578,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Food Service,3,3000.0
33583,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,2,37500.0
33594,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,1,17500.0
33668,Hot-Dry,CA,Electricity,gen4_led,Electricity,Mercantile,0,37500.0
33675,Mixed-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Food Service,3,3000.0
33677,Hot-Dry,CA,Electricity,gen4_led,Electricity,Mercantile,4,37500.0
33680,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,4,75000.0
33695,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,3,17500.0
33710,Cold,CA,Electricity,gen4_led,NaturalGas,Food Service,4,3000.0
